map	col1	col2	avgrr
3	10400000	10450000	6.3
3	10450000	10500000	6.31
3	10550000	10600000	6.325
3	10850000	10900000	6.33
3	10900000	10950000	6.32
3	10950000	11000000	6.3
3	11000000	11050000	6.29
3	11050000	11100000	6.27
3	11200000	11250000	6.22
3	11300000	11350000	6.21
3	11400000	11450000	6.2
3	11500000	11550000	6.19
3	11600000	11650000	6.19
3	11700000	11750000	6.205
3	11750000	11800000	6.21
3	11950000	12000000	6.3
3	12000000	12050000	6.35
3	12100000	12150000	6.39
3	12200000	12250000	6.4
3	12250000	12300000	6.41
3	12300000	12350000	6.42
3	12350000	12400000	6.39
3	12400000	12450000	6.37
3	12500000	12550000	6.31
3	12600000	12650000	6.2
3	12650000	12700000	6.1
3	12700000	12750000	5.96
3	12800000	12850000	5.79
3	12850000	12900000	5.75
3	12900000	12950000	5.66
3	13000000	13050000	5.3
3	13100000	13150000	4.94
3	13200000	13250000	4.675
3	13300000	13350000	4.42
3	13350000	13400000	4.31
3	13400000	13450000	4.085
3	13500000	13550000	3.77
3	13550000	13600000	3.615
3	13600000	13650000	3.39
3	13750000	13800000	3.03
3	13800000	13850000	2.86
3	13850000	13900000	2.81
3	13900000	13950000	2.57
3	14050000	14100000	2.21
3	14150000	14200000	2.08
3	14200000	14250000	2.05
3	14250000	14300000	1.96
3	14300000	14350000	1.93
3	14350000	14400000	1.92
3	14500000	14550000	1.92
3	14550000	14600000	1.95
3	14750000	14800000	2.2
3	14800000	14850000	2.31
3	14850000	14900000	2.35
3	14900000	14950000	2.54
3	15000000	15050000	2.73
3	15150000	15200000	3.23
3	15200000	15250000	3.34
3	15300000	15350000	3.59
3	15400000	15450000	3.81
3	15500000	15550000	4.11
3	15550000	15600000	4.27
3	15600000	15650000	4.33
3	15700000	15750000	4.55
3	15750000	15800000	4.65
3	15800000	15850000	4.73
3	15850000	15900000	4.83
3	16000000	16050000	4.93
3	16050000	16100000	4.96
3	16200000	16250000	5.1
3	16350000	16399999	5.165
3	16600000	16649999	5.26
3	16649999	16700000	5.28
3	16700000	16750000	5.28
3	16750000	16800000	5.3
3	16950000	17000000	5.43
3	17100000	17150000	5.5
3	17150000	17200000	5.53
3	17200000	17250000	5.55
3	17250000	17300000	5.59
3	17300000	17350000	5.61
3	17650000	17700000	5.77
3	17750000	17800000	5.82
3	17800000	17850000	5.84
3	17850000	17900000	5.875
3	17950000	18000000	5.91
3	18000000	18050000	5.96
3	18050000	18100000	5.96
3	18250000	18300000	6.01
3	18350000	18400000	5.99
3	18400000	18450000	5.99
3	18550000	18600000	6.07
3	18600000	18650000	6.12
3	18700000	18750000	6.21
3	18750000	18800000	6.265000000000001
3	18800000	18850000	6.35
3	18900000	18950000	6.45
3	18950000	19000000	6.48
3	19000000	19050000	6.52
3	19050000	19100000	6.56
3	19100000	19150000	6.68
3	19150000	19200000	6.72
3	19200000	19250000	6.78
3	19250000	19300000	6.93
3	19350000	19400000	7.11
3	19450000	19500000	7.22
3	19500000	19550000	7.28
3	19600000	19650000	7.39
3	19700000	19750000	7.475
3	19800000	19850000	7.59
3	19950000	20000000	7.65
3	20050000	20100000	7.67
3	20150000	20200000	7.69
3	20350000	20400000	7.64
3	20500000	20550000	7.51
3	20600000	20650000	7.2
3	20700000	20750000	6.97
3	20750000	20800000	6.81
