map	col1	col2	avgrr
3	3950000	4000000	9.54
3	4000000	4050000	9.19
3	4050000	4099999	9.015
3	4099999	4150000	8.73
3	4150000	4200000	8.42
3	4200000	4250000	8.2
3	4250000	4300000	7.81
3	4300000	4350000	7.6850000000000005
3	4350000	4400000	7.3566666666666665
3	4400000	4450000	7.126666666666667
3	4450000	4500000	6.93
3	4500000	4550000	6.58
3	4550000	4600000	6.345000000000001
3	4750000	4800000	5.3
3	4800000	4850000	5.15
3	4850000	4900000	4.75
3	4900000	4950000	4.62
3	5000000	5050000	4.27
3	5050000	5100000	4.05
3	5100000	5150000	3.798
3	5150000	5200000	3.62
3	5200000	5250000	3.41
3	5300000	5350000	2.89
3	5400000	5450000	2.54
3	5450000	5500000	2.53
3	5500000	5550000	2.34
3	5700000	5750000	2.17
3	5750000	5800000	2.16
3	5800000	5850000	2.13
3	5850000	5900000	2.11
3	5900000	5950000	2.08
3	5950000	6000000	2.106666666666667
3	6000000	6050000	2.17
3	6050000	6100000	2.25
3	6100000	6150000	2.27
3	6200000	6250000	2.29
3	6300000	6350000	2.3166666666666664
3	6350000	6400000	2.335
3	6400000	6450000	2.36
3	6500000	6550000	2.43
3	6550000	6600000	2.4625000000000004
3	6650000	6700000	2.5549999999999997
3	6750000	6800000	2.73
3	6850000	6900000	2.97
3	6950000	7000000	3.14
3	7000000	7050000	3.3
3	7150000	7200000	3.615
3	7200000	7250000	3.6950000000000003
3	7250000	7300000	3.7675
3	7400000	7450000	4.08
3	7450000	7500000	4.15
3	7500000	7550000	4.2
3	7600000	7650000	4.26
3	7650000	7700000	4.297499999999999
3	7700000	7750000	4.32
3	7800000	7850000	4.375
3	7850000	7900000	4.37
3	8000000	8050000	4.4350000000000005
3	8050000	8100000	4.455
3	8100000	8150000	4.485
3	8150000	8199999	4.5
3	8250000	8300000	4.56
3	8350000	8400000	4.693333333333333
3	8450000	8500000	4.85
3	8500000	8550000	4.934
3	8550000	8600000	4.99
3	8600000	8650000	5.1
3	8650000	8700000	5.25
3	8750000	8800000	5.3966666666666665
3	8800000	8850000	5.45
3	8850000	8900000	5.476666666666667
3	8950000	9000000	5.49
3	9000000	9050000	5.51
3	9150000	9200000	5.6
3	9200000	9250000	5.59
3	9250000	9300000	5.583333333333333
3	9300000	9350000	5.573333333333333
3	9350000	9400000	5.5649999999999995
3	9400000	9450000	5.55
3	9700000	9750000	5.42
3	9800000	9850000	5.33
3	9850000	9900000	5.3
3	9900000	9950000	5.285
3	9950000	10000000	5.22
3	10100000	10150000	5.09
3	10150000	10200000	5.003333333333333
3	10250000	10300000	4.844285714285714
3	10300000	10350000	4.7
3	10350000	10400000	4.62
3	10400000	10450000	4.51
3	10450000	10500000	4.355
3	10500000	10550000	4.216666666666667
3	10550000	10600000	4.0375
