population PC1 PC2 PC3 PC4 PC5
JekyllIs -0.991844006421784 -0.790643689387642 -0.313234432890643 0.901949692683577 0.396479123362279
JekyllIs -0.994622458116533 -0.818209520202006 -0.168170561005703 0.891286558272944 0.308175881024929
JekyllIs -0.995645477674273 -0.764395891183486 -0.321724214492751 0.960343811687225 0.357366434651462
JekyllIs -0.986947253010231 -0.750220899160463 -0.189673908731803 0.943401623976153 0.434151855614361
JekyllIs -0.995635849390362 -0.763464588987892 -0.272305096927693 0.870773414126109 0.484721194464651
JekyllIs -0.99273562835984 -0.733751015401456 -0.284613659012601 0.934941191289106 0.404030198526292
JekyllIs -0.993054388036377 -0.731277881734691 -0.339049761798805 0.918264260218773 0.481183599393309
JekyllIs -0.992543660852398 -0.772538875190623 -0.255241602352151 0.882283095879959 0.375280337660749
JekyllIs -0.997112124492796 -0.791492273833307 -0.239219997278502 0.759099551599226 0.429733945982578
JekyllIs -0.997226807033183 -0.794671776245512 -0.241513720987941 0.986785873232344 0.350131227197548
JekyllIs -0.992836392027475 -0.767645587815897 -0.227495438146365 0.895558406546915 0.354509983639484
JekyllIs -0.995846981480644 -0.807834849287673 -0.159119173330926 0.868596722589081 0.378943834584433
JekyllIs -0.99991809599532 -0.748651023216572 -0.221946019555973 0.752551903766824 0.520893539611985
MagdalenIs 0.972210929122695 -0.929131631083637 -0.00757855919642059 0.533886337924081 0.549557699250745
MagdalenIs 0.976687088005358 -0.921363026988041 -0.00130936558952854 0.535039233714846 0.550947728971259
MagdalenIs 0.9808488065836 -0.926281796999142 0.0210603824642464 0.532594609894933 0.540210496150149
MagdalenIs 0.985049297871113 -0.934496041152959 0.0414307959256246 0.528906984708315 0.542129606508584
MagdalenIs 0.991892649430038 -0.940388932503104 0.0757991454061964 0.518588513948293 0.547882972797719
MagdalenIs 0.982821309412756 -0.95831855612654 0.0522480038744955 0.530702650629106 0.528240907113717
MagdalenIs 0.983941895797756 -0.968279755586242 0.0755168835408744 0.518098924469347 0.530799604817371
MagdalenIs 0.986402654179489 -0.971291653343011 0.0844992007615188 0.519700044759575 0.538942313235995
MagdalenIs 0.986309689612159 -0.943050067950961 0.0417925769302609 0.520382151643314 0.545179080148654
MagdalenIs 0.980815291474227 -0.930138124534947 0.00962504385945251 0.528222373776844 0.549835556063716
MagdalenIs 0.984715699689784 -0.926847065247661 0.015612587893463 0.520127917944521 0.548644067537272
MagdalenIs 0.980913996411851 -0.923200037432679 0.00049982855555375 0.529295148000667 0.545380040384398
MagdalenIs 0.994491547014183 -0.960988028309734 0.096302433108264 0.501304494682901 0.552471186749964
MagdalenIs 0.982511993458269 -0.920229783435182 0.00398760563401068 0.524104974342877 0.556775142490354
MagdalenIs 0.987709987990411 -0.988567544987554 0.102575254555746 0.507203154520017 0.528236227690926
MagdalenIs 0.988528868459158 -0.95670983320609 0.0664772078967746 0.504888855231385 0.549217613751486
MagdalenIs 0.990552127047558 -0.970114517803701 0.0922247817548778 0.517670074118195 0.545623293096677
MagdalenIs 0.989145299237487 -0.993495944430014 0.0891522252624888 0.531147361829271 0.525695790670001
MagdalenIs 0.991569050386277 -0.899622622523616 0.0480098590785729 0.544049260905783 0.541023395480194
MagdalenIs 0.993947193113065 -0.951610762102542 0.0928365310718273 0.496579167529053 0.551921055377826
MagdalenIs 0.99340795495711 -0.987698192842854 0.12785313741447 0.5082999197958 0.528664070055023
MagdalenIs 0.996744687419106 -0.935281461729448 0.0943829578133353 0.5188499366357 0.558994446264025
MagdalenIs 0.99810554601404 -0.930579933940979 0.105801127450832 0.520342392417727 0.552136152954869
